,action_onnut,action_virtual,reward_onnut,reward_virtual,travel_time_onnut,travel_time_virtual,teleport_number
0,1,1,0,0,0.5392223627019926,0.0,0
1,1,1,6,0,3119.7632927345553,0.0,0
2,2,1,4,0,0.6592814820003409,0.3194632372917342,0
3,2,1,0,0,261.6574980711434,326.3624191711276,0
4,2,1,0,0,0.08446691341351407,0.2627148399939524,0
5,1,1,2,2,1.173025233978947,0.5561391523405204,0
6,1,3,0,11,49.45122974143763,89.1540407663201,0
7,1,1,9,5,260.61883733532454,0.5040469552033712,0
8,2,1,2,5,1.1258391141212654,2.6268443081013717,0
9,2,1,81,8,0.82318021210154,0.22736237005006057,0
10,2,1,100,9,41.229392773211494,0.29608361466341027,0
11,1,1,80,4,1.2357428419467023,3.828914329508845,0
12,1,1,79,4,0.6874363774867472,47.86391274781932,0
13,1,1,68,10,1.3614354760640701,0.2952172979813222,0
14,2,1,104,11,0.7252679196711904,21.82892025794113,0
15,2,1,105,13,1.1449872944215573,20.958766771786085,0
16,2,1,101,14,6.961664283959533,27.969326628579566,0
17,2,1,93,20,50.14799073355022,43.36784968828798,0
18,1,3,89,16,10.307297517674941,81.27637198873332,0
19,1,1,80,0,157.89250325566636,450.63641399834466,0
20,1,1,80,16,167.76197890567067,145.8843254371192,0
21,2,1,79,17,0.8420286734634435,0.4856191277233776,0
22,2,1,111,28,1.0096645281241583,18.54650666321738,0
23,2,1,104,5,41.07033905874557,155.6545336112839,0
24,1,1,66,17,0.6555003141301838,72.88442324281158,0
25,1,1,83,17,3.961853577504188,0.7523926561272615,0
26,1,3,71,24,18.459243641690026,91.66862589995974,0
27,2,1,81,10,20.986376707640737,90.00926605990408,0
28,2,1,93,14,14.977651960958134,59.88923025209526,0
29,2,1,93,24,1.4870826339378314,4.687365023463079,0
30,2,1,75,17,17.105536338528704,94.86328607310581,0
31,1,3,78,11,88.72871474909324,161.58199666420933,0
32,1,1,70,15,0.6380336980111787,0.48725159762532844,0
33,1,1,75,14,0.8304013745903941,0.8032234285342741,0
34,2,1,88,2,1.4564442026198414,1.189738865722556,0
35,2,1,113,13,28.1022633137928,199.44446700768182,0
36,2,1,107,17,54.231528551007614,380.7189920616601,0
37,1,1,69,15,10.627988875528082,426.1005021629022,0
38,1,1,81,13,152.29400685206582,55.691077379837154,0
39,1,3,51,6,358.3198706968628,287.1256770603438,0
40,2,1,79,14,17.587031187566396,159.68107707497634,0
41,2,1,104,37,235.6057241928874,128.3578122613061,0
42,2,1,98,11,40.14296313305448,186.51314393011285,0
43,1,3,63,15,307.43515976907315,1251.093199441345,0
44,1,1,74,15,411.05785535853585,1417.0616760501287,0
45,1,1,74,13,10.72830690213662,52.76325043568618,0
46,2,1,70,8,198.04306379937339,122.69351543845552,0
47,2,1,83,19,472.6823853572855,334.4830153287509,0
48,2,1,84,15,187.2191448062249,1171.516006488906,0
49,1,1,65,24,81.08966520685387,1808.3942411599544,0
50,1,1,59,1,79.58268319706039,1659.4378303409733,0
51,1,3,42,4,315.23950872483994,2822.6415932631976,0
