,pairs,reward_onnut,reward_virtual,travel_time
0,"(90, 30)",82.21,15.78,"('2567.92', '1289.51')"
1,"(90, 60)",73.52,13.28,"('3215.43', '2399.68')"
2,"(90, 90)",87.14,16.84,"('2932.97', '2012.97')"
3,"(90, 120)",77.86,12.90,"('3257.52', '2633.14')"
4,"(90, 150)",76.64,13.10,"('6440.35', '6957.54')"
5,"(120, 30)",57.39,11.18,"('9386.05', '12276.19')"
6,"(120, 60)",71.67,15.06,"('3102.72', '2676.22')"
7,"(120, 90)",78.34,13.41,"('9479.04', '6929.55')"
8,"(120, 120)",56.43,10.41,"('9682.28', '14848.26')"
9,"(120, 150)",52.93,8.92,"('8966.56', '16839.35')"
10,"(150, 30)",52.57,8.50,"('12839.16', '17804.03')"
11,"(150, 60)",53.02,8.58,"('9771.72', '16857.25')"
12,"(150, 90)",59.07,11.07,"('13876.98', '15608.69')"
13,"(150, 120)",80.87,14.79,"('4439.66', '2521.35')"
14,"(150, 150)",73.61,12.14,"('8226.11', '7528.86')"
15,"(180, 30)",78.08,12.89,"('3200.00', '2475.15')"
16,"(180, 60)",58.55,11.10,"('8430.59', '12882.77')"
17,"(180, 90)",52.96,10.05,"('9951.63', '15700.86')"
18,"(180, 120)",52.53,10.23,"('11698.80', '16692.89')"
19,"(180, 150)",47.98,9.07,"('16126.89', '17081.68')"
