step_time,reward_onnut,reward_virtual,total_travel_time_onnut,total_travel_time_virtual
54015.0,0,0,0.6157189717955507,0.0
54030.0,12,0,2644.3782254341154,0.0
54045.0,3,0,0.6113124123662577,0.20029243291307003
54060.0,0,0,261.6416673087593,489.4053692584798
54075.0,0,0,0.09094826245743969,0.36691103079607207
54090.0,1,3,0.4667378548544632,0.36495023321377795
54105.0,1,4,49.42981504518777,98.09799408236508
54120.0,9,17,284.2368212207327,0.3622319812921467
54135.0,18,11,1.1350981289956326,3.158265904332711
54150.0,49,8,12.49141538832699,61.453311638058516
54165.0,73,13,0.8877360339111059,0.5587659921343004
54180.0,58,9,592.9646261689265,185.65355730104602
54195.0,94,16,0.7119533450473116,0.40444086964228365
54210.0,89,19,0.6437526341838367,23.258164661422438
54225.0,78,17,1.1375848617988704,0.7365280968127141
54240.0,94,16,63.13438911572008,301.2769404013519
54255.0,62,10,0.6033665157849477,1.1920481702208265
54270.0,55,21,0.9472562317474114,0.5746506264905418
54285.0,95,17,0.818821131870069,293.09101272679186
54300.0,82,12,33.11381619593102,174.07940883650375
54315.0,97,8,0.8440863110343314,3.581090787113919
54330.0,87,10,12.620946932344971,53.26171931080787
54345.0,99,15,0.9194327005251564,15.38828246932965
54360.0,53,20,3.076375557803285,36.47196859291694
54375.0,32,29,0.6776186201205121,5.790425843608053
54390.0,49,20,0.7161911587021054,4.870829747603239
54405.0,60,21,0.9101850918437148,44.977126255369534
54420.0,95,18,4.702313476409757,734.8094398087845
54435.0,105,15,1.251731693412576,0.6404531214431409
54450.0,108,32,44.10135628935896,24.15508249289601
54465.0,114,18,0.9387334772774618,24.96676554554196
54480.0,81,16,30.445056180628118,493.87253148080106
54495.0,100,7,0.9650593233809013,24.262847171174343
54510.0,81,13,10.564600511954252,66.743054921305
54525.0,109,15,2.3308944045820694,19.53432794366945
54540.0,69,7,541.1540803710703,166.33140371718335
54555.0,89,17,35.025793096654574,17.143947135138113
54570.0,63,25,2.8537451653775716,0.8835421738313265
54585.0,67,26,12.736668428304316,24.055072435976854
54600.0,67,16,69.0750127117336,106.76186231637082
54615.0,72,17,67.71579755881673,1105.5905276110034
54630.0,84,30,11.812204840066347,1111.641710220377
54645.0,94,22,523.1549534665115,1186.153347110101
54660.0,88,14,678.5615808004414,1251.1751863605505
54675.0,97,15,255.44785128328942,6.708712612973338
54690.0,83,16,186.9501065370183,0.6751640841004646
54705.0,91,14,2.2553863136887307,1.019331980974758
54720.0,103,9,276.75646709526393,234.07596662353876
54735.0,98,14,318.73209100021995,39.14801612475285
54750.0,80,17,22.228691817876445,0.9744288989680939
54765.0,108,17,128.6436497057368,212.64469663647353
54780.0,77,2,36.86867973501842,812.3197901481934
54795.0,96,22,495.14181268070314,15.258919788121046
54810.0,109,12,195.73782628365137,30.29491211812082
54825.0,97,25,77.31191642055292,52.400788516246045
54840.0,75,26,580.5114178527459,235.45382086920512
54855.0,80,13,444.12096531167,465.34640136711073
54870.0,70,8,488.5580412265481,2272.750278540736
54885.0,73,2,45.576835673678495,2638.0462389751324
54900.0,96,5,45.50951297635467,2808.0939229865335
54915.0,122,9,216.42219687688097,2347.6001601045245
54930.0,80,21,421.78234575534003,1394.0382643068383
54945.0,94,21,174.61678894526295,1776.6382454035233
