step_time,reward_onnut,reward_virtual,total_travel_time_onnut,total_travel_time_virtual
54015.0,0,0,4.403310130569869,3.7495680345572353
54030.0,3,0,5.173265759180313,3.7495680345572353
54045.0,1,0,5.533783193884148,3.814755465713474
54060.0,0,0,788.3047218304165,982.2154671774367
54075.0,0,0,4.273903111226348,3.8960654490732454
54090.0,1,2,4.850370667002727,4.771433511148174
54105.0,0,8,1988.4516413286985,2483.728424784874
54120.0,11,12,4685.839655430253,5.268817751609214
54135.0,20,3,17.872948813946543,18.533871095710417
54150.0,51,7,8.999705129094336,4.359893376052687
54165.0,90,13,10.673675199237612,4.66178641312145
54180.0,84,7,4689.323316109123,671.712762634407
54195.0,76,16,17.465680521405353,3457.893358534574
54210.0,81,18,795.8948286855791,984.1883256841256
54225.0,83,17,9.195967331886719,669.6248589543615
54240.0,94,8,4727.445268001587,671.963028031851
54255.0,51,13,9.020096466700705,5.292949771762528
54270.0,77,20,11.884288955850373,5.298429795703061
54285.0,70,22,759.4161340567146,940.7933957445842
54300.0,88,10,232.69226974086018,10.75878319852391
54315.0,91,10,12.341820386959318,4.520275307560526
54330.0,84,17,1215.635409566162,2173.63612471093
54345.0,67,13,12.981486478544003,326.91699895351974
54360.0,105,11,6102.126734831931,993.0855761881558
54375.0,66,5,3045.0679565036635,2176.1691698557524
54390.0,76,14,2341.7633467955907,2407.450642092982
54405.0,94,23,65.58737067385269,78.05789590212103
54420.0,89,14,5474.281200458238,988.3999097882985
54435.0,76,16,1390.820333420848,1734.37153421955
54450.0,113,18,1396.2946482659565,1738.3551110160201
54465.0,81,9,1795.3270019322974,1734.019025080234
54480.0,99,15,6855.04655150643,2712.6426315550825
54495.0,101,13,15.458847010738516,7.011211739990037
54510.0,84,21,5410.51179871366,8.257282350434819
54525.0,87,19,6570.549955917203,1751.2577481842607
54540.0,108,13,811.7412039237081,1026.795447433322
54555.0,75,16,2921.0428916513883,11.250994588846597
54570.0,88,7,3473.106213938807,10.724013111194255
54585.0,88,17,1396.6732028288807,5188.522485365808
54600.0,87,13,7171.146988330537,2727.2182960129885
54615.0,64,12,5186.927621904359,3469.8846382030088
54630.0,63,13,6811.762976602712,1732.1486307378368
54645.0,60,16,7286.297820118177,3234.266767799518
54660.0,37,3,7310.5796768306645,6984.847305271243
54675.0,52,3,2610.3902885307434,14481.394546202235
54690.0,100,7,2610.197800837012,9981.49636147123
54705.0,82,8,79.62879835238533,2951.4095947007595
54720.0,117,10,2195.5639977738274,11356.853002771535
54735.0,119,8,3874.1739530992872,6717.998531961979
54750.0,113,17,7455.677339480368,5124.51726732054
54765.0,58,18,14021.720996932143,5175.399432716232
54780.0,61,17,16424.778408132865,9238.43711783111
54795.0,54,11,15632.513509555916,15772.641191493685
54810.0,88,16,11477.456361487899,19834.593382952364
54825.0,54,16,11511.677409426482,15137.27297414625
54840.0,40,3,8106.659617037695,19136.281676557697
54855.0,84,3,7334.593093073524,19837.550212463095
54870.0,95,5,10650.077783373614,22623.938584201696
54885.0,101,4,10851.96387285709,22625.127200919826
54900.0,80,8,7516.3506542145515,22623.49909673385
54915.0,92,11,7496.1735232573565,19173.6213073685
54930.0,68,11,7291.891558406297,22622.301778712535
54945.0,85,3,9687.623530904079,22627.463639465546
54960.0,92,3,12759.90385096865,24265.10795786535
54975.0,93,6,17294.93655785037,22622.383362199318
54990.0,67,11,12454.562154081957,22622.11449305622
55005.0,68,9,7286.130909340065,22622.034042301722
55020.0,80,2,8083.1541865573545,23600.2457388681
55035.0,64,5,7332.51284620093,22622.31109480661
55050.0,55,7,7291.761176215359,23290.227934229486
55065.0,92,3,148.156236138184,17507.461050159753
55080.0,103,18,7546.589309968469,16075.884572124822
55095.0,99,17,8411.781405144498,9350.481222968801
55110.0,78,10,15671.30965887591,18053.365661614258
55125.0,60,6,10471.880224664093,21402.324618947394
55140.0,78,0,8687.516724387655,21400.160598174592
55155.0,60,16,13963.817093806683,21399.269432177192
55170.0,87,8,15645.853132711289,21399.88926999604
55185.0,94,4,7906.724354740629,22146.281308303704
55200.0,72,7,13974.711930109357,21450.056979681027
55215.0,50,4,15639.623184590939,21399.587109538254
55230.0,81,10,10511.81111265081,21407.216709619148
55245.0,64,9,9391.96525465111,22145.90012431088
55260.0,42,2,16422.400786379385,22377.639382449175
55275.0,41,5,15657.515875139368,21399.42104834635
55290.0,35,8,10472.697067199873,21399.263473235053
55305.0,81,1,2516.1884239412957,19673.72209926905
55320.0,100,6,6188.087801353963,19811.259128205038
55335.0,71,25,4658.465404706017,13857.787179904504
55350.0,102,22,2322.717541104597,5686.124452415739
55365.0,100,25,1240.0088953207503,8818.719380520866
55380.0,94,13,7198.613066365014,18846.78559269008
55395.0,99,14,7896.22567003158,12118.211085286222
55410.0,73,21,77.25921843601223,3521.5111540922344
55425.0,81,22,9758.234603954148,8651.259790129934
55440.0,88,13,6105.057138930603,5201.093433871716
55455.0,58,9,7322.806751269127,4993.498600716958
