,action_onnut,action_virtual,reward_onnut,reward_virtual,travel_time_onnut,travel_time_virtual,teleport_number
0,1,1,0,0,0.5363438993818176,0.0,0
1,1,1,12,0,146.83508063487238,0.0,0
2,2,1,6,0,0.6336845223449212,0.5304766997338934,0
3,2,1,0,0,261.67252168612936,326.3618074024404,0
4,2,1,0,0,0.0933602898311499,0.27972331286684265,0
5,1,1,2,2,1.4676938030474724,0.6504606262291657,0
6,1,3,0,5,49.44666942604528,89.1820221725957,0
7,1,1,22,6,260.6380394873459,0.5408777272509738,0
8,2,1,2,7,15.074531712619164,75.53865025207685,0
9,2,1,87,6,12.483613809667458,89.21727210173542,0
10,2,1,103,12,1.1332807970500351,0.36040019656127714,0
11,2,1,94,2,2.708974596109641,0.6707946928355473,0
12,1,1,60,10,0.5801859964126667,0.32344596331760145,0
13,1,1,84,25,0.827846443652062,0.42186213814407514,0
14,1,3,78,14,1.4991162261385866,0.3139547718484471,0
15,2,1,79,4,1.0484549959440994,1.8828291108326798,0
16,2,1,98,17,5.314036916735636,0.27285621920901093,0
17,2,1,107,19,11.676452729824286,75.4151155075403,0
18,2,1,107,10,7.3850969274176865,20.527994351840476,0
19,1,1,73,9,73.48274143465972,25.307173039164834,0
20,1,1,69,17,0.6364197555039951,21.900776997825034,0
21,1,1,83,25,1.0808129735222785,345.5754410083322,0
22,2,1,104,16,10.33281551249854,238.4588228278592,0
23,2,1,98,16,174.61107488862277,167.57549600895894,0
24,2,1,67,27,103.61148618653661,43.64099683189345,0
25,1,3,71,24,0.74696552422888,0.5792179736879476,0
26,1,1,83,13,0.9763007674174061,1.0285216285670664,0
27,1,1,66,13,14.489099217840769,42.410088584795275,0
28,2,1,96,12,0.8034690885896719,0.42554755366499647,0
29,2,1,118,18,1.1352429885748514,0.4761236212806075,0
30,2,1,109,21,12.80679744604609,2.46756419382209,0
31,1,1,95,17,375.72634919208474,22.32301053170299,0
32,1,1,69,11,21.470444863036562,0.3157323864911784,0
33,1,3,73,22,10.482286867124307,59.963712552488666,0
34,2,1,72,14,1.4338186884977715,0.6710672857940566,0
35,2,1,91,7,41.08590307154535,230.50771276236821,0
36,2,1,97,19,3.6846612009539013,0.3902576093383012,0
37,2,1,101,24,23.9978575673724,66.54531260666312,0
38,1,1,84,25,9.314429825413544,658.2667029919461,0
39,1,1,75,10,144.813232358706,1057.1051373053176,0
40,1,1,76,15,179.52864292488505,446.4474268230302,0
41,2,1,104,23,5.196119471776252,184.89804619794594,0
42,2,1,113,17,2.9000479149279146,133.33597193554658,0
43,2,1,100,25,67.28207336254978,33.2927753646671,0
44,1,3,68,7,14.999363223192187,0.9994915854772655,0
45,1,1,100,13,460.29378973744537,1.2259326009114602,0
46,1,1,79,11,534.1927503520841,0.5644751521286254,0
47,2,1,77,11,260.05638310175567,204.92369722622436,0
48,2,1,108,12,258.4941593817637,36.296462552501296,0
49,2,1,104,17,243.8416569270901,0.258556698586112,0
50,1,1,88,17,278.4253301854349,212.25277440229337,0
51,1,1,51,4,877.7666451600269,410.74124846043514,0
52,1,3,33,6,555.2535013321595,232.92877276687972,0
53,2,1,61,7,807.616441792622,143.52478453874988,0
54,2,1,73,7,783.9848490077362,665.4961137226242,0
55,2,1,64,1,978.335244731391,941.8858813660968,0
56,1,1,49,5,683.8425536610224,987.7251428041369,0
57,1,1,38,9,451.5857474965612,2234.330051020475,0
58,1,1,42,4,382.74368484451617,2444.1239445355486,0
59,2,1,55,11,294.296951565112,2462.9114359805617,0
60,2,1,74,16,400.63756102659926,2926.7487225162,0
61,2,1,85,13,438.400137793313,650.8562005629699,0
62,1,3,51,12,254.32041171779449,67.6434663827898,0
63,1,1,53,16,240.66201547023152,79.01039767077569,0
64,1,1,52,8,232.61075856808952,1892.7306135624533,0
65,2,1,60,7,37.2975147297137,2447.7429236853636,0
66,2,1,96,4,42.52994045802274,2950.848680284764,0
67,2,1,84,2,1160.3569847809758,3047.4688759328583,0
68,1,1,87,16,110.91551144500785,2419.0453495491593,0
69,1,1,104,23,2.6216746567228415,2421.123647632807,0
70,1,3,97,22,6.450228544879262,2577.056401638308,0
71,2,1,103,5,17.85478742260862,2258.5394536306976,0
72,2,1,121,17,7.377455984546989,1390.4205311444916,0
73,2,1,116,16,30.0767043810963,1356.2971316571643,0
74,1,1,97,21,19.105288584001507,1440.7110777873606,0
75,1,1,92,14,341.73850689807637,1767.6263894268036,0
76,1,1,88,22,41.16185552667047,962.1053107772808,0
77,2,1,112,22,15.9696896036436,693.192159760701,0
78,2,1,129,11,27.951710008823493,65.17447752695078,0
79,2,1,124,27,982.5322191035447,247.56477477096863,0
80,1,3,81,4,20.587136457498595,439.1398512805702,0
81,1,1,88,22,549.3508045653688,331.59036848826645,0
82,1,1,52,36,506.5597207613014,555.1336180129904,0
83,2,1,58,15,885.5406975915625,1279.573850377111,0
84,2,1,86,8,961.9233781708149,1852.6396147304363,0
85,2,1,84,11,1807.9680882356329,2116.6083585731653,0
86,1,3,65,16,570.078173103609,2116.620111082146,0
87,1,1,51,3,633.5627851610251,2320.693059936723,0
88,1,1,43,9,536.5631840536626,2516.9385927002268,0
89,2,1,63,13,812.7147540509218,2139.4408954670657,0
90,2,1,66,10,653.0894080812441,2116.6260680252412,0
