,reward_onnut,reward_virtual,travel_time_onnut,travel_time_virtual
0,0,0,64.62608861,56.24352052
1,13,0,13315.51342,56.24352052
2,5,0,4753.882173,56.33882172
3,0,0,9379.660417,11681.01411
4,0,0,6345.973054,7889.383489
5,1,2,64.26644747,60.69652585
6,1,9,11030.01301,13761.90007
7,12,5,42294.36157,5989.248431
8,3,3,4808.641383,101.2410617
9,80,5,10293.99779,12779.88913
10,100,11,2774.244472,2035.184427
11,66,5,31634.04738,247.4175577
12,59,11,24320.00532,1729.638534
13,66,10,7189.072411,16193.44532
14,91,12,2558.501258,9733.920772
15,106,5,2938.52104,20429.54087
16,87,12,7088.189715,15621.24024
17,63,21,33143.46268,3027.861256
18,82,16,26247.92028,15475.8322
19,84,13,36257.81902,39834.16702
20,87,17,19153.8464,6481.75955
21,108,19,4192.351056,4986.762916
22,118,17,19816.83503,25114.98544
23,73,12,32136.40291,37179.51484
24,59,14,23043.25724,13816.07624
25,80,24,41525.42358,30361.5745
26,92,21,81311.26689,21344.95112
27,102,8,68286.42728,30040.45758
28,119,14,3355.412988,3037.241959
29,114,10,37135.93319,43348.32603
30,61,22,70670.54081,42156.10954
31,56,19,81064.62873,77309.12134
32,40,14,62523.44211,115737.3611
33,76,12,40191.50243,201423.9343
34,99,28,9182.677166,198301.9949
35,91,13,134850.7904,191583.0416
36,69,21,43000.20854,26269.99513
37,78,18,84221.73007,786.1998026
38,66,15,21977.17638,29260.6413
39,81,16,42728.82562,68987.01317
40,97,14,12392.62177,28326.87824
41,96,18,7892.320539,19551.79336
42,86,16,9235.828168,39178.78308
43,97,11,15641.70126,27195.90645
44,83,18,23797.84935,15655.13295
45,107,26,4153.503643,8654.840827
46,117,11,61698.29613,42291.59481
47,108,11,149744.1972,44681.44533
48,69,15,77547.36713,10111.86968
49,85,14,81413.48297,65771.17685
50,49,9,98679.68635,100796.1534
51,98,5,127113.7537,213616.1969
52,98,6,203330.772,272971.1077
53,99,14,151085.9649,310426.4216
54,78,10,113866.9332,340007.1726
55,65,5,120264.3804,346422.6877
56,37,4,120810.3759,342288.7472
57,79,8,8520.21902,278043.9522
58,103,15,45785.2059,160869.3745
59,109,12,76106.6002,82760.65509
60,62,8,134292.2233,111626.2671
61,72,18,118324.6339,90909.78902
62,41,23,61356.08553,94873.49081
63,64,18,178014.3465,108986.6577
64,91,16,112515.4826,122845.0809
65,98,18,192998.421,170435.8494
66,57,5,113423.0727,212330.1616
67,43,3,115677.9661,241374.6997
68,31,7,160550.7844,285406.7262
69,84,9,67775.88283,250358.7086
70,99,30,7289.991636,230198.2367
71,97,16,152586.6062,227672.6369
72,62,8,179625.1704,221151.4612
73,53,11,95250.96219,301900.0646
74,41,12,109649.052,334221.4068
75,72,3,107464.5554,333017.4312
76,97,4,33842.88894,276344.9459
77,101,10,193384.7405,293481.5606
78,70,17,146538.7064,268652.8738
79,53,2,129831.6603,290304.7938
80,26,2,121501.8277,322524.279
81,55,13,115604.5479,327704.213
82,92,0,56988.62765,317916.6202
83,104,17,36584.4075,318847.5881
84,99,10,22888.59337,249400.8725
85,75,20,108703.8418,162949.9631
86,67,12,152870.6192,88119.08971
87,72,15,95137.11298,132760.0523
88,74,17,44411.49026,96967.2385
89,105,21,105405.2961,83954.01345
90,106,15,121024.5991,63695.447
91,66,14,188724.1288,68450.59231
92,56,19,39896.25215,30520.11836
93,75,20,97582.63466,82330.95787
94,103,14,143502.293,40903.5243
95,105,11,165064.6344,64421.80177
96,102,19,54134.21521,33008.72331
97,89,21,94146.54704,31618.44085
98,83,17,166172.1324,56567.54661
99,53,18,138208.0103,37844.72985
100,97,18,38055.71382,11457.51906
