step_time,onnut_action,virtual_action,reward_onnut,reward_virtual,total_travel_time_onnut,total_travel_time_virtual,teleport_number
54015.0,0,0,0,0,0.3857710839652988,0.0,0
54030.0,0,1,9,0,0.5948137585675071,0.0,0
54045.0,0,1,31,0,0.6977591036117136,0.08981478109252208,0
54060.0,0,1,30,0,0.6925941924646029,0.16701979712327353,0
54075.0,0,1,31,0,0.5300546858140349,0.2856144774522836,0
54090.0,0,1,31,0,0.7091123037637669,0.3081685765531993,0
54105.0,0,1,22,9,0.4356269303396435,0.21056423778888533,0
54120.0,0,2,12,6,0.5915985837412393,0.4049960679509587,0
54135.0,1,1,2,1,0.5563316386610216,0.34030345475420287,0
54150.0,0,1,49,6,0.6109157095451397,0.662683807278976,0
54165.0,1,1,90,18,0.718836639768267,0.6060762980846095,0
54180.0,1,0,95,12,1.0191992543727597,0.4721267027456408,0
54195.0,0,1,68,17,0.5227463129925006,0.6464649949274347,0
54210.0,1,1,80,11,0.74499595907749,1.2006517399036025,0
54225.0,0,1,65,14,0.7187148807484064,0.4350662028611619,0
